"Step","stoic-sweep-10 - train_acc_step","stoic-sweep-10 - train_acc_step__MIN","stoic-sweep-10 - train_acc_step__MAX","wobbly-sweep-9 - train_acc_step","wobbly-sweep-9 - train_acc_step__MIN","wobbly-sweep-9 - train_acc_step__MAX","different-sweep-8 - train_acc_step","different-sweep-8 - train_acc_step__MIN","different-sweep-8 - train_acc_step__MAX","fresh-sweep-7 - train_acc_step","fresh-sweep-7 - train_acc_step__MIN","fresh-sweep-7 - train_acc_step__MAX","vague-sweep-6 - train_acc_step","vague-sweep-6 - train_acc_step__MIN","vague-sweep-6 - train_acc_step__MAX","autumn-sweep-5 - train_acc_step","autumn-sweep-5 - train_acc_step__MIN","autumn-sweep-5 - train_acc_step__MAX","peachy-sweep-4 - train_acc_step","peachy-sweep-4 - train_acc_step__MIN","peachy-sweep-4 - train_acc_step__MAX","resilient-sweep-3 - train_acc_step","resilient-sweep-3 - train_acc_step__MIN","resilient-sweep-3 - train_acc_step__MAX","crimson-sweep-2 - train_acc_step","crimson-sweep-2 - train_acc_step__MIN","crimson-sweep-2 - train_acc_step__MAX","legendary-sweep-1 - train_acc_step","legendary-sweep-1 - train_acc_step__MIN","legendary-sweep-1 - train_acc_step__MAX"
"63","0.28125","0.28125","0.28125","0.125","0.125","0.125","0.1875","0.1875","0.1875","0.375","0.375","0.375","0.3125","0.3125","0.3125","0.15625","0.15625","0.15625","0.4375","0.4375","0.4375","0.09375","0.09375","0.09375","0.3125","0.3125","0.3125","0.140625","0.140625","0.140625"
"64","0.25","0.25","0.25","0.15625","0.15625","0.15625","0.28125","0.28125","0.28125","0.1875","0.1875","0.1875","0.25","0.25","0.25","0.15625","0.15625","0.15625","0.21875","0.21875","0.21875","0.03125","0.03125","0.03125","0.34375","0.34375","0.34375","0.0625","0.0625","0.0625"
"65","0.3125","0.3125","0.3125","0.15625","0.15625","0.15625","0.21875","0.21875","0.21875","0.3125","0.3125","0.3125","0.21875","0.21875","0.21875","0.15625","0.15625","0.15625","0.21875","0.21875","0.21875","0.15625","0.15625","0.15625","0.375","0.375","0.375","0.109375","0.109375","0.109375"
"66","0.375","0.375","0.375","0.3125","0.3125","0.3125","0.28125","0.28125","0.28125","0.46875","0.46875","0.46875","0.1875","0.1875","0.1875","0.125","0.125","0.125","0.40625","0.40625","0.40625","0.03125","0.03125","0.03125","0.21875","0.21875","0.21875","","",""
"67","0.09375","0.09375","0.09375","0.34375","0.34375","0.34375","0.25","0.25","0.25","0.15625","0.15625","0.15625","0.28125","0.28125","0.28125","0.1875","0.1875","0.1875","0.4375","0.4375","0.4375","0.21875","0.21875","0.21875","0.34375","0.34375","0.34375","","",""
"68","0.3125","0.3125","0.3125","0.28125","0.28125","0.28125","0.28125","0.28125","0.28125","0.21875","0.21875","0.21875","0.15625","0.15625","0.15625","0.375","0.375","0.375","0.28125","0.28125","0.28125","0.21875","0.21875","0.21875","0.375","0.375","0.375","","",""
"69","0.375","0.375","0.375","0.21875","0.21875","0.21875","0.25","0.25","0.25","0.40625","0.40625","0.40625","0.1875","0.1875","0.1875","0.28125","0.28125","0.28125","0.46875","0.46875","0.46875","0.15625","0.15625","0.15625","0.28125","0.28125","0.28125","","",""
"70","0.28125","0.28125","0.28125","0.21875","0.21875","0.21875","0.28125","0.28125","0.28125","0.40625","0.40625","0.40625","0.09375","0.09375","0.09375","0.3125","0.3125","0.3125","0.40625","0.40625","0.40625","0.0625","0.0625","0.0625","0.28125","0.28125","0.28125","","",""
"71","0.3125","0.3125","0.3125","0.15625","0.15625","0.15625","0.28125","0.28125","0.28125","0.25","0.25","0.25","0.40625","0.40625","0.40625","0.28125","0.28125","0.28125","0.5","0.5","0.5","0.125","0.125","0.125","0.125","0.125","0.125","","",""
"72","0.3125","0.3125","0.3125","0.28125","0.28125","0.28125","0.1875","0.1875","0.1875","0.375","0.375","0.375","0.34375","0.34375","0.34375","0.0625","0.0625","0.0625","0.3125","0.3125","0.3125","0.125","0.125","0.125","0.1875","0.1875","0.1875","","",""
